Date,Confirmed,Deaths,Recovered,Active,New Confirmed,New deaths,New recovered,Recovery rate(per 100),Mortality rate(per 100),Number of countries
2020-01-22,557,17,30,510,0,0,0,5.39,3.05,6
2020-01-23,655,18,32,605,98,1,2,4.89,2.75,8
2020-01-24,941,26,39,876,286,8,7,4.14,2.76,9
2020-01-25,1433,42,42,1349,492,16,3,2.93,2.93,11
2020-01-26,2118,56,56,2006,685,14,14,2.64,2.64,13
2020-01-27,2927,82,65,2780,809,26,9,2.22,2.8,16
2020-01-28,5578,131,108,5339,2651,49,43,1.94,2.35,16
2020-01-29,6167,133,126,5908,589,2,18,2.04,2.16,18
2020-01-30,8235,171,143,7921,2068,38,17,1.74,2.08,20
2020-01-31,9927,213,222,9492,1692,42,79,2.24,2.15,23
2020-02-01,12038,259,284,11495,2111,46,62,2.36,2.15,25
2020-02-02,16787,362,463,15962,4749,103,179,2.76,2.16,25
2020-02-03,19887,426,608,18853,3100,64,145,3.06,2.14,25
2020-02-04,23898,492,826,22580,4011,66,218,3.46,2.06,26
2020-02-05,27643,564,1076,26003,3745,72,250,3.89,2.04,26
2020-02-06,30803,634,1423,28746,3160,70,347,4.62,2.06,26
2020-02-07,34396,719,1908,31769,3593,85,485,5.55,2.09,27
2020-02-08,37130,806,2470,33854,2734,87,562,6.65,2.17,27
2020-02-09,40160,906,3058,36196,3030,100,588,7.61,2.26,27
2020-02-10,42769,1013,3715,38041,2609,107,657,8.69,2.37,27
2020-02-11,44811,1113,4418,39280,2042,100,703,9.86,2.48,27
2020-02-12,45229,1118,4850,39261,418,5,432,10.72,2.47,27
2020-02-13,60382,1371,5929,53082,15153,253,1079,9.82,2.27,27
2020-02-14,66909,1523,7612,57774,6527,152,1683,11.38,2.28,28
2020-02-15,69052,1666,8903,58483,2143,143,1291,12.89,2.41,28
2020-02-16,71235,1770,10320,59145,2183,104,1417,14.49,2.48,28
2020-02-17,73270,1868,11951,59451,2035,98,1631,16.31,2.55,28
2020-02-18,75152,2008,13693,59451,1882,140,1742,18.22,2.67,28
2020-02-19,75652,2123,15395,58134,500,115,1702,20.35,2.81,29
2020-02-20,76212,2248,17372,56592,560,125,1977,22.79,2.95,29
2020-02-21,76841,2252,17969,56620,629,4,597,23.38,2.93,31
2020-02-22,78602,2459,21853,54290,1761,207,3884,27.8,3.13,31
2020-02-23,78982,2470,22304,54208,380,11,451,28.24,3.13,32
2020-02-24,79546,2630,24047,52869,564,160,1743,30.23,3.31,37
2020-02-25,80399,2710,26652,51037,853,80,2605,33.15,3.37,42
2020-02-26,81376,2771,29089,49516,977,61,2437,35.75,3.41,48
2020-02-27,82736,2814,31930,47992,1360,43,2841,38.59,3.4,52
2020-02-28,84122,2873,35315,45934,1386,59,3385,41.98,3.42,57
2020-02-29,86013,2942,38323,44748,1891,69,3008,44.55,3.42,62
2020-03-01,88394,2996,41219,44179,2381,54,2896,46.63,3.39,67
2020-03-02,90377,3085,44094,43198,1983,89,2875,48.79,3.41,74
2020-03-03,92971,3160,46690,43121,2594,75,2596,50.22,3.4,77
2020-03-04,95279,3255,49628,42396,2308,95,2938,52.09,3.42,81
2020-03-05,98090,3349,52246,42495,2811,94,2618,53.26,3.41,85
2020-03-06,102003,3460,54308,44235,3913,111,2062,53.24,3.39,94
2020-03-07,106098,3564,56798,45736,4095,104,2490,53.53,3.36,95
2020-03-08,110047,3803,59132,47112,3949,239,2334,53.73,3.46,100
2020-03-09,114219,3993,60931,49295,4172,190,1799,53.35,3.5,103
2020-03-10,119041,4267,62838,51936,4822,274,1907,52.79,3.58,106
2020-03-11,126702,4611,65434,56657,7689,344,2596,51.64,3.64,112
2020-03-12,132492,4917,66756,60819,5790,306,1322,50.38,3.71,114
2020-03-13,146876,5414,68681,72781,14384,497,1925,46.76,3.69,120
2020-03-14,157950,5834,71052,81064,11074,420,2371,44.98,3.69,135
2020-03-15,169219,6475,74463,88281,11269,641,3411,44.0,3.83,139
2020-03-16,184027,7153,76517,100357,14808,678,2054,41.58,3.89,145
2020-03-17,199970,7967,79261,112742,15943,814,2744,39.64,3.98,148
2020-03-18,219535,8874,81748,128913,19565,907,2487,37.24,4.04,152
2020-03-19,246584,9985,83389,153210,27049,1111,1641,33.82,4.05,156
2020-03-20,277359,11470,85834,180055,30775,1485,2445,30.95,4.14,163
2020-03-21,309350,13192,90080,206078,31991,1722,4246,29.12,4.26,165
2020-03-22,344205,14877,96297,233031,34855,1685,6217,27.98,4.32,170
2020-03-23,387040,16826,96765,273449,42835,1949,468,25.0,4.35,171
2020-03-24,428219,19116,106304,302799,41194,2290,9539,24.82,4.46,173
2020-03-25,479220,21926,112010,345284,51001,2810,5706,23.37,4.58,176
2020-03-26,542097,24962,120381,396754,62877,3036,8371,22.21,4.6,176
2020-03-27,607138,28450,129094,449594,65041,3488,8713,21.26,4.69,177
2020-03-28,674418,32180,137394,504844,67280,3730,8300,20.37,4.77,178
2020-03-29,733655,35699,146850,551106,59237,3519,9456,20.02,4.87,178
2020-03-30,798949,39780,162187,596982,65294,4081,15337,20.3,4.98,179
2020-03-31,875794,44528,174651,656615,76845,4748,12464,19.94,5.08,181
2020-04-01,958586,50527,190191,717868,82792,5999,15540,19.84,5.27,181
2020-04-02,1041649,56414,206923,778312,83063,5887,16732,19.86,5.42,182
2020-04-03,1125200,62574,221905,840721,83551,6160,14982,19.72,5.56,182
2020-04-04,1183589,68490,241912,873187,75463,5916,20007,20.44,5.79,182
2020-04-05,1256181,73676,255313,927192,72592,5186,13401,20.32,5.87,183
2020-04-06,1329324,79614,271777,977933,73143,5938,16464,20.44,5.99,184
2020-04-07,1399153,87875,294501,1016777,73320,8261,22724,21.05,6.28,184
2020-04-08,1482508,94681,323019,1064808,83355,6806,28518,21.79,6.39,184
2020-04-09,1569527,102464,347264,1119799,87019,7783,24245,22.13,6.53,184
2020-04-10,1655062,109842,368307,1176913,85535,7378,21043,22.25,6.64,185
2020-04-11,1729373,116015,393822,1219536,74311,6173,25515,22.77,6.71,185
2020-04-12,1849067,121873,412670,1314524,119715,5858,18848,22.32,6.59,185
2020-04-13,1919799,127843,439292,1352664,70732,5970,26622,22.88,6.66,185
2020-04-14,2003766,134812,463912,1405042,83967,6969,24620,23.15,6.73,185
2020-04-15,2080914,143278,499695,1437941,77148,8466,35783,24.01,6.89,185
2020-04-16,2176465,150537,529845,1496083,95551,7259,30150,24.34,6.92,185
2020-04-17,2264462,158930,555181,1550351,87997,8393,25336,24.52,7.02,185
2020-04-18,2341702,165082,578626,1597994,77241,6152,23445,24.71,7.05,185
2020-04-19,2418307,170314,609522,1638471,76605,5232,30896,25.2,7.04,185
2020-04-20,2494325,176188,631003,1687134,76018,5874,21481,25.3,7.06,185
2020-04-21,2570074,183463,665159,1721452,75749,7275,34156,25.88,7.14,185
2020-04-22,2651321,190319,693978,1767024,81247,6856,28819,26.17,7.18,185
2020-04-23,2735570,197152,722400,1816018,85959,6833,28422,26.41,7.21,185
2020-04-24,2819666,203920,772036,1843710,94130,6768,49636,27.38,7.23,185
2020-04-25,2901924,209547,798922,1893455,82258,5627,26886,27.53,7.22,185
2020-04-26,2973512,213526,826861,1933125,71589,3979,27939,27.81,7.18,185
2020-04-27,3043704,218271,853355,1972078,70192,4745,26494,28.04,7.17,185
2020-04-28,3119244,224852,885598,2008794,75540,6581,32243,28.39,7.21,185
2020-04-29,3196354,231572,926579,2038203,78567,6720,40981,28.99,7.24,185
2020-04-30,3279849,237415,990588,2051846,83495,5843,64009,30.2,7.24,187
2020-05-01,3368225,242562,1027399,2098264,88376,5147,36811,30.5,7.2,187
2020-05-02,3447425,248058,1066994,2132373,79367,5496,39595,30.95,7.2,187
2020-05-03,3523798,251567,1098419,2173812,76373,3509,31425,31.17,7.14,187
2020-05-04,3601487,255778,1131390,2214319,77690,4211,32971,31.41,7.1,187
2020-05-05,3681989,261605,1166887,2253497,80502,5827,35497,31.69,7.1,187
2020-05-06,3772016,268107,1211826,2292083,90027,6502,44939,32.13,7.11,187
2020-05-07,3860723,273413,1250271,2337039,90290,5306,38445,32.38,7.08,187
2020-05-08,3951001,278963,1285700,2386338,91758,5550,35429,32.54,7.06,187
2020-05-09,4036224,283187,1338110,2414927,85223,4224,52410,33.15,7.02,187
2020-05-10,4111200,286744,1371072,2453384,74985,3557,32962,33.35,6.97,187
2020-05-11,4187831,290231,1417059,2480541,76688,3487,45987,33.84,6.93,187
2020-05-12,4272321,295716,1453053,2523552,84510,5485,35994,34.01,6.92,187
2020-05-13,4357301,300859,1507803,2548639,84980,5143,54750,34.6,6.9,188
2020-05-14,4453532,306019,1546586,2600927,96232,5160,38783,34.73,6.87,188
2020-05-15,4549264,311242,1593868,2644154,95732,5223,47282,35.04,6.84,188
2020-05-16,4643703,315419,1649354,2678930,94439,4177,55486,35.52,6.79,188
2020-05-17,4721725,318603,1689629,2713493,78022,3184,40275,35.78,6.75,188
2020-05-18,4810892,322366,1741857,2746669,89167,3763,52228,36.21,6.7,188
2020-05-19,4907667,327014,1793091,2787562,96984,4648,51234,36.54,6.66,188
2020-05-20,5009545,331792,1851333,2826420,101878,4778,58242,36.96,6.62,188
2020-05-21,5116189,336454,1901615,2878120,106748,4662,50282,37.17,6.58,188
2020-05-22,5222610,341701,2009284,2871625,106421,5247,107669,38.47,6.54,188
2020-05-23,5327415,345624,2063408,2918383,104805,3923,54124,38.73,6.49,188
2020-05-24,5421626,348638,2118248,2954740,94650,3014,54840,39.07,6.43,188
2020-05-25,5508342,349850,2181304,2977188,87088,1212,63056,39.6,6.35,188
2020-05-26,5602309,354090,2235755,3012464,93967,4240,54451,39.91,6.32,188
2020-05-27,5705071,359145,2298184,3047742,102762,5055,62429,40.28,6.3,188
2020-05-28,5824354,363703,2364323,3096328,119283,4558,66139,40.59,6.24,188
2020-05-29,5945256,368310,2440642,3136304,120902,4607,76319,41.05,6.2,188
2020-05-30,6081771,372334,2510474,3198963,136515,4024,69832,41.28,6.12,188
2020-05-31,6188179,375024,2586158,3226997,106408,2690,75684,41.79,6.06,188
2020-06-01,6284173,378097,2640199,3265877,95994,3073,54041,42.01,6.02,188
