Country/Region,Confirmed,Deaths,Recovered,Active,New Confirmed,New deaths,New recovered,Recovery rate(per 100),Mortality rate(per 100)
Afghanistan,55876,2451,49402,4023,29,2,24,88.41,4.39
Albania,113580,1956,75887,35737,683,17,697,66.81,1.72
Algeria,114382,3018,79187,32177,148,5,123,69.23,2.64
Andorra,11069,112,10661,296,27,0,35,96.31,1.01
Angola,21108,515,19657,936,22,1,10,93.13,2.44
Antigua and Barbuda,848,21,410,417,0,0,0,48.35,2.48
Argentina,2154694,53121,1951540,150033,5058,241,5724,90.57,2.47
Armenia,175016,3225,164954,6837,337,4,170,94.25,1.84
Australia,29061,909,22931,5221,15,0,2,78.91,3.13
Austria,476980,8732,445032,23216,1910,19,1880,93.3,1.83
Azerbaijan,236963,3247,229789,3927,195,6,71,96.97,1.37
Bahamas,8600,181,7415,1004,0,0,0,86.22,2.1
Bahrain,127255,473,120489,6293,653,1,718,94.68,0.37
Bangladesh,551175,8476,504120,38579,845,14,1117,91.46,1.54
Barbados,3303,37,2847,419,18,0,32,86.19,1.12
Belarus,296441,2047,287197,7197,930,9,713,96.88,0.69
Belgium,789008,22292,0,766716,1117,31,0,0.0,2.83
Belize,12335,315,11926,94,0,0,0,96.68,2.55
Benin,6338,81,5383,874,267,6,420,84.93,1.28
Bhutan,868,1,866,1,0,0,0,99.77,0.12
Bolivia,254736,11845,199000,43891,463,22,764,78.12,4.65
Bosnia and Herzegovina,137291,5297,118720,13274,1778,69,835,86.47,3.86
Botswana,32912,413,27765,4734,1166,54,1005,84.36,1.25
Brazil,11051665,266398,9826292,958975,32321,987,86828,88.91,2.41
Brunei,190,3,182,5,1,0,0,95.79,1.58
Bulgaria,263303,10764,214115,38424,2995,150,1228,81.32,4.09
Burkina Faso,12181,143,11816,222,0,0,0,97.0,1.17
Burma,142045,3200,131679,7166,11,0,7,92.7,2.25
Burundi,2334,3,773,1558,15,0,0,33.12,0.13
Cabo Verde,15806,154,15133,519,24,0,93,95.74,0.97
Cambodia,1011,0,517,494,0,0,0,51.14,0.0
Cameroon,36794,566,32936,3292,1080,15,342,89.51,1.54
Canada,896247,22271,0,873976,4048,37,0,0.0,2.48
Central African Republic,5021,63,4920,38,0,0,0,97.99,1.25
Chad,4193,146,3690,357,16,6,22,88.0,3.48
Chile,860533,21163,809941,29429,4748,86,4239,94.12,2.46
China,101149,4838,93274,3037,17,0,17,92.21,4.78
Colombia,2278861,60598,2180777,37486,2205,95,3578,95.7,2.66
Comoros,3606,146,3427,33,10,0,17,95.04,4.05
Costa Rica,206640,2833,187484,16323,0,0,0,90.73,1.37
Cote d'Ivoire,35331,204,32800,2327,144,2,92,92.84,0.58
Croatia,246608,5609,237645,3354,94,19,464,96.37,2.27
Cuba,56566,350,51709,4507,873,2,930,91.41,0.62
Cyprus,37230,233,2057,34940,352,0,0,5.53,0.63
Czechia,1325291,21882,1135251,168158,3960,165,4042,85.66,1.65
Democratic Republic of the Congo,26627,712,22432,3483,86,0,0,84.25,2.67
Denmark,215924,2382,206489,7053,427,2,467,95.63,1.1
Diamond Princess,712,13,699,0,0,0,0,98.17,1.83
Djibouti,6157,63,5935,159,11,0,4,96.39,1.02
Dominica,144,0,130,14,0,0,0,90.28,0.0
Dominican Republic,243526,3179,198386,41961,279,7,764,81.46,1.31
Ecuador,294618,16043,256009,22566,115,4,0,86.9,5.45
Egypt,187094,11038,144485,31571,591,43,466,77.23,5.9
El Salvador,60800,1915,56807,2078,0,8,0,93.43,3.15
Equatorial Guinea,6371,96,5739,536,42,0,2,90.08,1.51
Eritrea,2944,7,2436,501,0,0,0,82.74,0.24
Estonia,76183,667,55641,19875,1180,14,245,73.04,0.88
Eswatini,17188,658,15343,1187,4,0,67,89.27,3.83
Ethiopia,167133,2442,138639,26052,995,13,139,82.95,1.46
Fiji,66,2,57,7,3,0,2,86.36,3.03
Finland,62522,774,46000,15748,459,7,0,73.57,1.24
France,3969612,89090,272887,3607635,5534,363,808,6.87,2.24
Gabon,16015,91,14047,1877,390,1,301,87.71,0.57
Gambia,4792,153,4203,436,33,1,60,87.71,3.19
Georgia,272998,3591,266886,2521,147,15,193,97.76,1.32
Germany,2513784,72236,2322734,118814,5129,252,8334,92.4,2.87
Ghana,86465,647,80952,4866,0,0,0,93.62,0.75
Greece,206281,6797,93764,105720,1161,39,0,45.45,3.3
Greenland,31,0,30,1,0,0,0,96.77,0.0
Grenada,148,1,147,0,0,0,0,99.32,0.68
Guatemala,178770,6479,165315,6976,210,6,375,92.47,3.62
Guinea,16912,97,15236,1579,242,2,55,90.09,0.57
Guinea-Bissau,3312,49,2671,592,0,0,0,80.65,1.48
Guyana,8814,203,8171,440,7,2,57,92.7,2.3
Haiti,12536,251,9828,2457,0,0,0,78.4,2.0
Holy See,27,0,15,12,0,0,0,55.56,0.0
Honduras,174243,4283,68085,101875,514,23,96,39.07,2.46
Hungary,468713,15988,336744,115981,2696,115,1232,71.84,3.41
Iceland,6064,29,6020,15,5,0,0,99.27,0.48
India,11244786,157930,10899394,187462,15388,77,16596,96.93,1.4
Indonesia,1386556,37547,1203381,145628,6894,281,8725,86.79,2.71
Iran,1698005,60786,1449350,187869,8313,99,7152,85.36,3.58
Iraq,731016,13596,664461,52959,4468,24,3920,90.9,1.86
Ireland,223651,4422,23364,195865,432,0,0,10.45,1.98
Israel,805116,5917,761326,37873,3541,26,2785,94.56,0.73
Italy,3081368,100103,2508732,472533,13882,318,13893,81.42,3.25
Jamaica,26904,454,14447,12003,878,1,146,53.7,1.69
Japan,439977,8301,418105,13571,621,46,0,95.03,1.89
Jordan,435130,4987,371454,58689,7413,52,4139,85.37,1.15
Kazakhstan,268902,3186,246679,19037,575,2,646,91.74,1.18
Kenya,109164,1879,87623,19662,337,3,53,80.27,1.72
Kosovo,73735,1655,62200,9880,1135,15,513,84.36,2.24
Kuwait,201898,1133,187122,13643,1326,6,935,92.68,0.56
Kyrgyzstan,86583,1473,83575,1535,33,2,45,96.53,1.7
Laos,47,0,42,5,0,0,0,89.36,0.0
Latvia,90525,1699,80247,8579,194,4,1740,88.65,1.88
Lebanon,397887,5089,312747,80051,2283,43,2443,78.6,1.28
Lesotho,10523,308,3922,6293,0,1,34,37.27,2.93
Liberia,2024,85,1892,47,0,0,0,93.48,4.2
Libya,139658,2288,126878,10492,1018,15,1036,90.85,1.64
Liechtenstein,2592,54,2519,19,2,0,31,97.18,2.08
Lithuania,202430,3336,188245,10849,216,8,54,92.99,1.65
Luxembourg,56677,663,53240,2774,381,11,578,93.94,1.17
MS Zaandam,9,2,7,0,0,0,0,77.78,22.22
Madagascar,20155,300,19543,312,0,0,0,96.96,1.49
Malawi,32469,1070,23105,8294,27,1,732,71.16,3.3
Malaysia,314989,1177,294034,19778,1529,8,2076,93.35,0.37
Maldives,20919,64,18253,2602,125,0,129,87.26,0.31
Mali,8613,358,6450,1805,33,0,9,74.89,4.16
Malta,24599,334,21087,3178,201,0,345,85.72,1.36
Marshall Islands,4,0,4,0,0,0,0,100.0,0.0
Mauritania,17340,442,16688,210,18,0,18,96.24,2.55
Mauritius,641,10,588,43,0,0,0,91.73,1.56
Mexico,2130477,190923,1675996,263558,1877,319,5565,78.67,8.96
Micronesia,1,0,1,0,0,0,0,100.0,0.0
Moldova,195602,4129,172242,19231,350,18,912,88.06,2.11
Monaco,2028,26,1850,152,5,0,15,91.22,1.28
Mongolia,3372,3,2765,604,36,1,284,82.0,0.09
Montenegro,80191,1085,70137,8969,417,18,492,87.46,1.35
Morocco,486325,8683,472544,5098,102,1,304,97.17,1.79
Mozambique,62703,698,0,62005,183,5,0,0.0,1.11
Namibia,40187,439,37578,2170,157,1,58,93.51,1.09
Nepal,274810,3011,270927,872,89,1,41,98.59,1.1
Netherlands,1139102,15990,14713,1108399,3844,28,7,1.29,1.4
New Zealand,2409,26,2304,79,4,0,3,95.64,1.08
Nicaragua,6489,174,4225,2090,0,0,0,65.11,2.68
Niger,4828,177,4407,244,6,0,2,91.28,3.67
Nigeria,158906,1982,138502,18422,400,13,612,87.16,1.25
North Macedonia,107479,3206,95410,8863,316,11,681,88.77,2.98
Norway,75770,632,17998,57140,828,0,0,23.75,0.83
Oman,144404,1594,134684,8126,449,3,370,93.27,1.1
Pakistan,593453,13281,563823,16349,1353,54,3365,95.01,2.24
Panama,345236,5934,332219,7083,402,11,457,96.23,1.72
Papua New Guinea,1670,16,846,808,87,0,0,50.66,0.96
Paraguay,169860,3343,141682,24835,1817,25,1121,83.41,1.97
Peru,1371176,47854,1276245,47077,6212,173,6880,93.08,3.49
Philippines,597763,12521,545912,39330,3351,5,59,91.33,2.09
Poland,1801083,45317,1494083,261683,6169,32,11515,82.95,2.52
Portugal,810459,16565,732346,61548,365,25,779,90.36,2.04
Qatar,167417,263,156299,10855,468,1,298,93.36,0.16
Republic of the Congo,9179,131,7514,1534,0,0,0,81.86,1.43
Romania,830563,20963,761631,47969,2280,63,7296,91.7,2.52
Russia,4284408,87985,3878189,318234,10145,371,10288,90.52,2.05
Rwanda,19659,268,17911,1480,108,0,71,91.11,1.36
Saint Kitts and Nevis,41,0,41,0,0,0,0,100.0,0.0
Saint Lucia,3871,46,3566,259,5,3,3,92.12,1.19
Saint Vincent and the Grenadines,1663,8,1027,628,0,0,4,61.76,0.48
Samoa,3,0,2,1,0,0,0,66.67,0.0
San Marino,3935,76,3434,425,13,0,8,87.27,1.93
Sao Tome and Principe,1961,32,1584,345,11,0,22,80.78,1.63
Saudi Arabia,380182,6534,371032,2616,351,6,418,97.59,1.72
Senegal,35959,925,30915,4119,102,6,310,85.97,2.57
Serbia,489530,4579,0,484951,4091,17,0,0.0,0.94
Seychelles,3000,15,2743,242,21,0,95,91.43,0.5
Sierra Leone,3921,79,2721,1121,1,0,21,69.4,2.01
Singapore,60046,29,59900,117,13,0,6,99.76,0.05
Slovakia,323786,7921,255300,60565,396,85,0,78.85,2.45
Slovenia,195678,3897,181023,10758,210,6,657,92.51,1.99
Solomon Islands,18,0,14,4,0,0,0,77.78,0.0
Somalia,8438,307,3932,4199,117,5,0,46.6,3.64
South Africa,1521706,50803,1442045,28858,638,125,1171,94.77,3.34
South Korea,93263,1645,83900,7718,446,3,426,89.96,1.76
South Sudan,8870,102,4914,3854,104,0,597,55.4,1.15
Spain,3160970,71436,150376,2939158,11958,298,0,4.76,2.26
Sri Lanka,86039,507,82513,3019,344,5,454,95.9,0.59
Sudan,30540,1915,23268,5357,0,20,112,76.19,6.27
Suriname,8980,175,8473,332,3,0,4,94.35,1.95
Sweden,684961,13003,0,671958,0,0,0,0.0,1.9
Switzerland,565034,10056,317600,237378,2744,8,0,56.21,1.78
Syria,16042,1068,0,14974,61,5,0,0.0,6.66
Taiwan,976,10,932,34,7,0,0,95.49,1.02
Tajikistan,13308,90,13218,0,0,0,0,99.32,0.68
Tanzania,509,21,183,305,0,0,0,35.95,4.13
Thailand,26441,85,25777,579,0,0,0,97.49,0.32
Timor-Leste,129,0,0,129,7,0,0,0.0,0.0
Togo,7598,92,6340,1166,28,0,34,83.44,1.21
Trinidad and Tobago,7736,140,7503,93,0,1,4,96.99,1.81
Tunisia,238017,8225,202994,26798,313,24,595,85.29,3.46
Turkey,2793632,29094,2632030,132508,13215,64,8106,94.22,1.04
US,29044110,525752,0,28518358,50237,719,0,0.0,1.81
Uganda,40479,334,15065,25080,15,0,0,37.22,0.83
Ukraine,1455421,28616,1242311,184494,5680,114,1768,85.36,1.97
United Arab Emirates,413332,1335,394649,17348,2483,13,1857,95.48,0.32
United Kingdom,4235989,124801,11853,4099335,4823,65,2,0.28,2.95
Uruguay,64700,658,55638,8404,863,7,777,85.99,1.02
Uzbekistan,80219,622,78915,682,43,0,31,98.37,0.78
Vanuatu,3,0,1,2,2,0,0,33.33,0.0
Venezuela,142774,1391,134839,6544,436,7,445,94.44,0.97
Vietnam,2524,35,1920,569,12,0,0,76.07,1.39
West Bank and Gaza,198554,2157,176507,19890,1742,17,1329,88.9,1.09
Yemen,2545,653,1447,445,72,2,1,56.86,25.66
Zambia,82655,1132,78721,2802,234,8,778,95.24,1.37
Zimbabwe,36289,1487,33872,930,18,2,38,93.34,4.1
